Cidade Considerada;Regiao Administrativa;Ano Obito;Mes Obito;Mes Descricao;Sexo;Turno;Tipo Acidente;Tipo Veiculo;Faixa Etaria;Idade;Hora Acidente;Tipo Vitima;Tipo Local do Acidente;Dia Semana;Tipo de Via;LAT_(geo);LONG_(geo);Rua / Rodovia
SAO PAULO;Metropolitana de Sao Paulo;2015;8;AGOSTO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;35-39;39;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;75-79;77;;PEDESTRE;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;FEMININO;MANHA;ATROPELAMENTO;PEDESTRE;50-54;54;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;8;AGOSTO;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;70-74;71;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;9;SETEMBRO;MASCULINO;MANHA;OUTROS;ONIBUS;80 ou mais;88;;PASSAGEIRO;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;FEMININO;MANHA;OUTROS;ONIBUS;65-69;68;;PASSAGEIRO;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;MASCULINO;TARDE;CHOQUE;BICICLETA;45-49;47;;CONDUTOR;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;45-49;45;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;NAO DISPONIVEL;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;MANHA;COLISAO;MOTOCICLETA;35-39;35;;CONDUTOR;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;8;AGOSTO;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;NAO DISPONIVEL;;PEDESTRE;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;MANHA;COLISAO;AUTOMOVEL;80 ou mais;92;;PASSAGEIRO;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;FEMININO;MANHA;ATROPELAMENTO;PEDESTRE;80 ou mais;82;;PEDESTRE;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;30-34;32;;CONDUTOR;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;82;;PEDESTRE;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;FEMININO;MADRUGADA;COLISAO;AUTOMOVEL;35-39;39;;CONDUTOR;PUBLICO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;MASCULINO;MANHA;NAO DISPONIVEL;MOTOCICLETA;45-49;48;;CONDUTOR;NAO DISPONIVEL;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;25-29;25;;PEDESTRE;PRIVADO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de S??o Paulo;2015;5;MAIO;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;45-49;45;;PEDESTRE;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;25-29;28;;PEDESTRE;PUBLICO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;88;;PEDESTRE;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;80 ou mais;89;;PEDESTRE;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;MASCULINO;TARDE;ATROPELAMENTO;NAO DISPONIVEL;55-59;55;;NAO DISPONIVEL;NAO DISPONIVEL;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;NAO DISPONIVEL;NOITE;ATROPELAMENTO;PEDESTRE;30-34;33;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;FEMININO;MADRUGADA;COLISAO;AUTOMOVEL;80 ou mais;80;;PASSAGEIRO;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;NAO DISPONIVEL;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;65-69;66;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;40-44;43;;PEDESTRE;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;75-79;78;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;7;JULHO;MASCULINO;TARDE;COLISAO;OUTROS;45-49;46;;PASSAGEIRO;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;9;SETEMBRO;MASCULINO;MANHA;OUTROS;MOTOCICLETA;35-39;35;;CONDUTOR;PRIVADO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;45-49;45;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;FEMININO;MANHA;ATROPELAMENTO;PEDESTRE;50-54;52;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;55-59;59;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;8;AGOSTO;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;30-34;33;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;9;SETEMBRO;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;35-39;35;;PEDESTRE;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;10;OUTUBRO;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;75-79;75;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;10;OUTUBRO;MASCULINO;MANHA;COLISAO;BICICLETA;50-54;51;;CONDUTOR;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;65-69;67;;PEDESTRE;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;MADRUGADA;COLISAO;MOTOCICLETA;30-34;32;;CONDUTOR;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;50-54;52;;PEDESTRE;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;NAO DISPONIVEL;TARDE;ATROPELAMENTO;PEDESTRE;65-69;69;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;MASCULINO;NOITE;OUTROS;BICICLETA;30-34;34;;CONDUTOR;NAO DISPONIVEL;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;MANHA;COLISAO;BICICLETA;60-64;63;;CONDUTOR;PUBLICO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;MADRUGADA;CHOQUE;AUTOMOVEL;18-24;23;;CONDUTOR;PUBLICO;TERCA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;NOITE;COLISAO;AUTOMOVEL;25-29;26;;CONDUTOR;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;80;;PEDESTRE;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;TARDE;OUTROS;MOTOCICLETA;30-34;32;;CONDUTOR;PUBLICO;SEGUNDA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;6;JUNHO;FEMININO;MADRUGADA;NAO DISPONIVEL;NAO DISPONIVEL;60-64;61;;NAO DISPONIVEL;NAO DISPONIVEL;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;1;JANEIRO;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;80 ou mais;84;;PEDESTRE;PUBLICO;QUINTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;MASCULINO;TARDE;COLISAO;MOTOCICLETA;40-44;40;;CONDUTOR;PUBLICO;SEXTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;17;;PEDESTRE;PUBLICO;QUARTA;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;3;MARCO;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;0-17;1;;PEDESTRE;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;2;FEVEREIRO;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;60-64;62;;PEDESTRE;PUBLICO;SABADO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;5;MAIO;MASCULINO;TARDE;COLISAO;MOTOCICLETA;25-29;26;;CONDUTOR;PUBLICO;DOMINGO;Vias Municipais;;;
SAO PAULO;Metropolitana de Sao Paulo;2015;4;ABRIL;MASCULINO;MADRUGADA;COLISAO;MOTOCICLETA;25-29;28;;CONDUTOR;PUBLICO;DOMINGO;Vias Municipais;;;
